3 qid:9139 1:15.459973 13:6.700198 14:0.0 15:0.0 16:5.0592294 17:9.7657385 18:8.225579 19:6.4117546 # docid:443
0 qid:9139 1:4.2048397 13:0.0 14:0.0 15:0.0 16:2.6180398 17:0.0 18:0.0 19:0.6819769 # docid:782
0 qid:9139 1:4.091001 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:153
0 qid:9139 1:4.091001 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:152
0 qid:9139 1:4.091001 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:763
0 qid:9139 1:4.0783505 13:2.7653384 14:1.0 15:0.0 16:2.708942 17:1.5293598 18:1.6654812 19:3.5286813 # docid:568
0 qid:9139 1:4.0783505 13:2.7653384 14:1.0 15:0.0 16:0.8228297 17:1.5293598 18:1.6654812 19:0.80802065 # docid:671
0 qid:9139 1:4.0783505 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:1.5293598 18:1.428417 19:0.89029306 # docid:672
0 qid:9139 1:4.0783505 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:96
1 qid:9139 1:4.0783505 13:2.7653384 14:1.0 15:0.0 16:2.6180398 17:4.476358 18:1.6654812 19:0.5526618 # docid:394
1 qid:9139 1:4.0783505 13:2.7653384 14:1.0 15:0.0 16:1.1494895 17:1.5293598 18:1.6654812 19:1.2229812 # docid:391
0 qid:9139 1:4.0783505 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.80802065 # docid:410
1 qid:9139 1:4.0783505 13:3.5415375 14:1.0 15:0.0 16:1.0541416 17:2.0317357 18:0.0 19:0.99121886 # docid:448
0 qid:9139 1:4.0783505 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.89029306 # docid:588
0 qid:9139 1:4.030755 13:2.7653384 14:1.0 15:0.0 16:1.1494895 17:1.5293598 18:1.6654812 19:1.1430436 # docid:325
1 qid:9139 1:4.030755 13:2.7653384 14:1.0 15:0.0 16:1.1494895 17:1.5293598 18:1.6654812 19:0.9061332 # docid:393
0 qid:9139 1:3.8767183 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:151
0 qid:9139 1:3.8647308 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.89029306 # docid:45
2 qid:9139 1:3.8647308 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:1.5293598 18:0.0 19:0.58995014 # docid:365
0 qid:9139 1:3.8647308 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:1.5293598 18:0.0 19:0.80802065 # docid:659
0 qid:9139 1:3.8647308 13:0.0 14:0.0 15:0.0 16:1.7952101 17:0.0 18:0.0 19:0.0 # docid:715
0 qid:9139 1:3.8647308 13:2.7653384 14:1.0 15:0.0 16:2.6180398 17:4.476358 18:1.6654812 19:3.145225 # docid:3
0 qid:9139 1:3.8647308 13:2.7653384 14:0.0 15:0.0 16:2.9446998 17:4.476358 18:0.0 19:4.3522043 # docid:17
0 qid:9139 1:3.8647308 13:0.0 14:0.0 15:0.0 16:0.9242326 17:0.0 18:0.0 19:0.80802065 # docid:246
0 qid:9139 1:3.8647308 13:0.0 14:0.0 15:0.0 16:2.708942 17:0.0 18:0.0 19:2.5074496 # docid:305
0 qid:9139 1:3.8647308 13:0.0 14:0.0 15:0.0 16:0.9242326 17:0.0 18:0.0 19:0.73966753 # docid:320
1 qid:9139 1:3.8647308 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.80802065 # docid:426
0 qid:9139 1:3.8647308 13:2.7653384 14:1.0 15:0.0 16:0.8228297 17:1.5293598 18:1.6654812 19:0.80802065 # docid:702
0 qid:9139 1:3.8647308 13:2.7653384 14:0.0 15:0.0 16:0.8228297 17:1.5293598 18:1.428417 19:0.99121886 # docid:703
0 qid:9139 1:3.8647308 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:713
3 qid:9125 1:17.64639 13:1.9506621 14:1.0 15:1.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:372
3 qid:9125 1:16.86401 13:9.276966 14:0.0 15:0.0 16:4.371697 17:6.0891614 18:0.0 19:0.0 # docid:374
3 qid:9125 1:15.730073 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:371
3 qid:9125 1:9.458509 13:0.0 14:0.0 15:0.0 16:1.7122545 17:0.0 18:0.0 19:0.0 # docid:375
0 qid:9125 1:7.340327 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:1.248456 # docid:475
0 qid:9125 1:7.2361526 13:0.0 14:0.0 15:0.0 16:0.5651028 17:0.0 18:0.0 19:0.0 # docid:354
0 qid:9125 1:6.8991914 13:1.9506621 14:0.0 15:0.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:191
0 qid:9125 1:6.8991914 13:1.9506621 14:0.0 15:0.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:192
0 qid:9125 1:6.845907 13:1.9506621 14:0.0 15:0.0 16:3.6611004 17:0.0 18:0.0 19:0.0 # docid:740
0 qid:9125 1:6.845907 13:1.9506621 14:0.0 15:0.0 16:3.6611004 17:0.0 18:0.0 19:0.0 # docid:735
0 qid:9125 1:6.749649 13:4.116367 14:0.0 15:0.0 16:1.7122545 17:0.0 18:0.0 19:0.0 # docid:225
0 qid:9125 1:6.6407123 13:1.9506621 14:0.0 15:0.0 16:2.3899472 17:0.0 18:0.0 19:0.0 # docid:380
0 qid:9125 1:6.6196046 13:4.116367 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:262
0 qid:9125 1:6.616373 13:1.9506621 14:1.0 15:1.0 16:2.3899472 17:0.0 18:0.0 19:0.0 # docid:746
0 qid:9125 1:6.5699883 13:1.9506621 14:0.0 15:0.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:510
0 qid:9125 1:6.5699883 13:1.9506621 14:1.0 15:1.0 16:4.1022015 17:0.0 18:0.0 19:0.0 # docid:549
0 qid:9125 1:6.5499897 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:0.0 # docid:352
0 qid:9125 1:6.292878 13:1.9506621 14:0.0 15:0.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:303
0 qid:9125 1:6.292878 13:1.9506621 14:0.0 15:0.0 16:2.3899472 17:0.0 18:0.0 19:0.0 # docid:301
0 qid:9125 1:6.292878 13:0.0 14:0.0 15:0.0 16:0.49546134 17:0.0 18:0.0 19:2.3592625 # docid:795
0 qid:9125 1:6.2429867 13:1.9506621 14:0.0 15:0.0 16:2.3899472 17:0.0 18:0.0 19:0.0 # docid:508
0 qid:9125 1:6.2429867 13:2.190734 14:1.0 15:1.0 16:2.6844769 17:0.0 18:0.0 19:0.0 # docid:624
0 qid:9125 1:5.979669 13:0.0 14:0.0 15:0.0 16:2.6594424 17:0.0 18:0.0 19:0.0 # docid:758
0 qid:9125 1:5.979669 13:1.9506621 14:0.0 15:0.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:302
0 qid:9125 1:5.979669 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:1.248456 # docid:376
0 qid:9125 1:5.7701626 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:1.9232209 # docid:824
1 qid:9125 1:5.696161 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:373
0 qid:9125 1:5.48297 13:1.9506621 14:0.0 15:0.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:737
0 qid:9125 1:5.48297 13:1.9506621 14:1.0 15:1.0 16:2.3899472 17:0.0 18:0.0 19:1.6232162 # docid:846
0 qid:9125 1:5.48297 13:1.9506621 14:1.0 15:1.0 16:1.9488457 17:0.0 18:0.0 19:0.0 # docid:841
0 qid:9125 1:5.48297 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:233
0 qid:9125 1:5.48297 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:285
0 qid:9125 1:4.9233136 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:819
0 qid:9125 1:4.9090424 13:0.0 14:0.0 15:0.0 16:1.7122545 17:0.0 18:0.0 19:1.248456 # docid:359
0 qid:9125 1:4.9090424 13:0.0 14:0.0 15:0.0 16:2.6594424 17:0.0 18:0.0 19:0.0 # docid:678
0 qid:9125 1:4.6519117 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:1.7273253 # docid:53
0 qid:9125 1:4.63526 13:4.116367 14:0.0 15:0.0 16:2.3284712 17:2.5131984 18:0.0 19:0.0 # docid:526
0 qid:9125 1:4.5527883 13:1.9506621 14:0.0 15:0.0 16:2.3899472 17:0.0 18:0.0 19:0.0 # docid:253
0 qid:9125 1:4.4194994 13:5.160599 14:0.0 15:0.0 16:2.6594424 17:0.0 18:0.0 19:0.0 # docid:414
0 qid:9125 1:4.37905 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:185
0 qid:9125 1:4.37905 13:4.116367 14:0.0 15:0.0 16:1.7122545 17:0.0 18:0.0 19:0.0 # docid:527
0 qid:9125 1:4.290707 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:789
0 qid:9125 1:4.290707 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:828
0 qid:9125 1:4.290707 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:0.0 # docid:182
0 qid:9125 1:4.290707 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:835
0 qid:9125 1:4.290707 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:839
0 qid:9125 1:4.235881 13:2.724301 14:1.0 15:1.0 16:2.7225292 17:0.0 18:0.0 19:0.0 # docid:561
0 qid:9125 1:4.235881 13:2.9060369 14:1.0 15:1.0 16:2.9050283 17:0.0 18:0.0 19:0.0 # docid:408
0 qid:9125 1:4.235881 13:2.724301 14:1.0 15:1.0 16:3.1636305 17:0.0 18:0.0 19:0.0 # docid:409
0 qid:9125 1:4.199532 13:5.160599 14:0.0 15:0.0 16:2.6594424 17:0.0 18:0.0 19:0.0 # docid:212
3 qid:9135 1:12.476305 13:0.0 14:0.0 15:0.0 16:2.7848485 17:0.0 18:0.0 19:1.3944274 # docid:422
3 qid:9135 1:12.476305 13:0.0 14:0.0 15:1.0 16:0.8228297 17:0.0 18:0.0 19:0.0 # docid:421
0 qid:9135 1:9.417835 13:4.1318603 14:0.0 15:0.0 16:3.1218088 17:1.9619004 18:0.0 19:2.2860873 # docid:449
1 qid:9135 1:9.324541 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:424
0 qid:9135 1:8.342812 13:2.958507 14:0.0 15:0.0 16:2.4684892 17:0.0 18:0.0 19:1.6160413 # docid:446
2 qid:9135 1:7.932238 13:0.0 14:0.0 15:1.0 16:2.4684892 17:1.9619004 18:0.0 19:1.9824377 # docid:316
1 qid:9135 1:7.932238 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:1.2764682 # docid:425
0 qid:9135 1:7.6752105 13:0.0 14:0.0 15:0.0 16:2.298979 17:0.0 18:0.0 19:1.8122663 # docid:393
0 qid:9135 1:7.3787527 13:2.958507 14:0.0 15:0.0 16:2.4684892 17:1.9619004 18:0.0 19:1.6160413 # docid:688
0 qid:9135 1:7.3787527 13:2.958507 14:0.0 15:0.0 16:2.4684892 17:0.0 18:0.0 19:1.6160413 # docid:685
1 qid:9135 1:7.241613 13:0.0 14:0.0 15:1.0 16:0.8228297 17:0.0 18:0.0 19:0.0 # docid:485
1 qid:9135 1:7.241613 13:0.0 14:0.0 15:1.0 16:2.7951488 17:1.9619004 18:0.0 19:1.6160413 # docid:484
0 qid:9135 1:7.1987987 13:3.5780077 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.0 # docid:699
0 qid:9135 1:6.992261 13:2.958507 14:0.0 15:0.0 16:2.4684892 17:0.0 18:0.0 19:1.6160413 # docid:695
0 qid:9135 1:6.992261 13:2.958507 14:0.0 15:1.0 16:2.7951488 17:1.9619004 18:0.0 19:1.6160413 # docid:697
3 qid:9135 1:6.9835353 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:423
0 qid:9135 1:6.700081 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:1.1053236 # docid:394
0 qid:9135 1:6.700081 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:2.2359052 # docid:392
0 qid:9135 1:6.4075127 13:0.0 14:0.0 15:0.0 16:3.1218088 17:1.9619004 18:0.0 19:2.2860873 # docid:673
0 qid:9135 1:6.3491373 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:395
2 qid:9135 1:5.9901657 13:3.5780077 14:1.0 15:1.0 16:1.1494895 17:0.0 18:0.0 19:0.0 # docid:317
2 qid:9135 1:5.9901657 13:3.5780077 14:1.0 15:1.0 16:1.1494895 17:0.0 18:0.0 19:0.0 # docid:318
0 qid:9135 1:5.9673004 13:4.0183597 14:1.0 15:1.0 16:0.9242326 17:0.0 18:0.0 19:0.0 # docid:453
0 qid:9135 1:5.940782 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:3.3169937 # docid:260
0 qid:9135 1:5.871224 13:0.0 14:0.0 15:0.0 16:5.253338 17:5.875599 18:4.904964 19:5.3980265 # docid:734
0 qid:9135 1:5.7686105 13:6.0009365 14:0.0 15:0.0 16:2.298979 17:0.0 18:0.0 19:2.4459624 # docid:128
1 qid:9135 1:5.636244 13:3.7889264 14:0.0 15:0.0 16:2.1082833 17:0.0 18:0.0 19:1.9824377 # docid:472
1 qid:9135 1:5.5532513 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:483
0 qid:9135 1:5.435575 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:2.755803 # docid:414
0 qid:9135 1:5.4311 13:2.958507 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:1.4793351 # docid:513
0 qid:9135 1:5.4311 13:3.0424292 14:0.0 15:0.0 16:4.4305077 17:3.636927 18:0.0 19:2.5408635 # docid:769
0 qid:9135 1:5.4311 13:2.958507 14:0.0 15:1.0 16:2.4684892 17:1.9619004 18:0.0 19:1.6160413 # docid:534
0 qid:9135 1:5.4311 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:766
1 qid:9135 1:5.3572083 13:0.0 14:0.0 15:0.0 16:1.8484652 17:0.0 18:0.0 19:2.755803 # docid:493
0 qid:9135 1:5.3488545 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:171
0 qid:9135 1:5.3488545 13:3.5780077 14:0.0 15:1.0 16:1.1494895 17:0.0 18:0.0 19:0.0 # docid:314
0 qid:9135 1:5.3488545 13:0.0 14:0.0 15:0.0 16:2.298979 17:0.0 18:0.0 19:2.4459624 # docid:391
0 qid:9135 1:5.2772217 13:3.0424292 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:2.755803 # docid:195
0 qid:9135 1:5.2462997 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:507
1 qid:9135 1:5.2352 13:2.958507 14:0.0 15:1.0 16:2.7951488 17:1.9619004 18:0.0 19:1.6160413 # docid:495
0 qid:9135 1:5.173786 13:3.5780077 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.0 # docid:700
0 qid:9135 1:5.1650352 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:2.0217872 # docid:413
0 qid:9135 1:5.1650352 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:415
0 qid:9135 1:5.152096 13:3.0424292 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:1.2652688 # docid:683
0 qid:9135 1:5.152096 13:3.0424292 14:0.0 15:0.0 16:5.0838275 17:3.187286 18:0.0 19:3.0030594 # docid:678
0 qid:9135 1:5.1323996 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:488
0 qid:9135 1:5.1309004 13:3.7889264 14:0.0 15:0.0 16:2.1082833 17:0.0 18:0.0 19:1.9824377 # docid:26
0 qid:9135 1:5.1309004 13:6.0009365 14:0.0 15:0.0 16:2.298979 17:0.0 18:0.0 19:2.0217872 # docid:200
0 qid:9135 1:5.1309004 13:2.958507 14:0.0 15:0.0 16:2.4684892 17:0.0 18:0.0 19:1.6160413 # docid:555
0 qid:9135 1:5.1309004 13:2.958507 14:0.0 15:0.0 16:2.4684892 17:0.0 18:0.0 19:1.6160413 # docid:593
3 qid:9080 1:11.533776 13:5.3674583 14:1.0 15:1.0 16:2.802629 17:2.869866 18:2.4126542 19:2.566975 # docid:681
0 qid:9080 1:9.387936 13:1.2982284 14:0.0 15:1.0 16:3.148016 17:3.3412237 18:3.0120058 19:3.551588 # docid:355
0 qid:9080 1:7.9245987 13:4.2114964 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:1.248456 # docid:256
2 qid:9080 1:7.838378 13:4.2114964 14:0.0 15:0.0 16:2.086761 17:1.6355389 18:0.0 19:1.248456 # docid:685
0 qid:9080 1:7.1987987 13:3.5780077 14:0.0 15:0.0 16:2.802629 17:1.8662698 18:0.0 19:2.8266368 # docid:699
0 qid:9080 1:6.8209267 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:0.0 # docid:195
0 qid:9080 1:6.2781367 13:0.0 14:0.0 15:0.0 16:2.086761 17:1.8662698 18:0.0 19:1.248456 # docid:23
0 qid:9080 1:6.075395 13:1.1559619 14:0.0 15:0.0 16:1.1569695 17:1.0780797 18:0.0 19:1.0323257 # docid:683
0 qid:9080 1:6.048724 13:4.7339697 14:0.0 15:0.0 16:3.0868256 17:4.7361355 18:2.5316508 19:2.8283439 # docid:700
0 qid:9080 1:6.0019836 13:3.5780077 14:0.0 15:0.0 16:2.261876 17:1.8662698 18:0.0 19:1.142845 # docid:803
0 qid:9080 1:5.8654127 13:1.1559619 14:0.0 15:0.0 16:1.3320849 17:0.0 18:0.0 19:0.0 # docid:42
0 qid:9080 1:5.747667 13:4.7339697 14:0.0 15:0.0 16:2.802629 17:2.869866 18:2.4126542 19:2.8283439 # docid:25
0 qid:9080 1:5.5905256 13:4.2114964 14:0.0 15:0.0 16:2.086761 17:1.6355389 18:0.0 19:2.3042147 # docid:593
0 qid:9080 1:5.5268493 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:363
0 qid:9080 1:5.402799 13:4.2114964 14:0.0 15:0.0 16:2.802629 17:3.2058027 18:0.0 19:1.248456 # docid:702
0 qid:9080 1:5.3488545 13:0.0 14:0.0 15:0.0 16:0.49546134 17:0.0 18:0.0 19:0.0 # docid:171
0 qid:9080 1:5.3488545 13:3.5780077 14:0.0 15:1.0 16:3.4559486 17:4.7361355 18:4.944305 19:1.7273253 # docid:314
0 qid:9080 1:5.3488545 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:0.0 # docid:391
0 qid:9080 1:5.3488545 13:0.0 14:0.0 15:0.0 16:2.086761 17:1.6355389 18:0.0 19:2.3042147 # docid:446
0 qid:9080 1:5.3488545 13:0.0 14:0.0 15:0.0 16:2.086761 17:1.6355389 18:0.0 19:1.248456 # docid:449
0 qid:9080 1:5.2976995 13:4.2114964 14:1.0 15:1.0 16:2.298979 17:0.0 18:0.0 19:1.248456 # docid:617
0 qid:9080 1:5.251767 13:1.1559619 14:0.0 15:0.0 16:1.1569695 17:1.0780797 18:0.0 19:1.4527704 # docid:277
0 qid:9080 1:5.1962614 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:362
2 qid:9080 1:5.152096 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:678
0 qid:9080 1:5.0300617 13:1.1559619 14:0.0 15:0.0 16:2.9777443 17:2.9443495 18:0.0 19:2.8266368 # docid:706
0 qid:9080 1:4.7797055 13:0.0 14:0.0 15:0.0 16:2.086761 17:1.8662698 18:0.0 19:0.0 # docid:88
0 qid:9080 1:4.6831856 13:0.0 14:0.0 15:0.0 16:0.44110143 17:0.0 18:0.0 19:0.0 # docid:393
0 qid:9080 1:4.6519117 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:2.3042147 # docid:192
0 qid:9080 1:4.384795 13:0.0 14:0.0 15:0.0 16:2.261876 17:1.6355389 18:0.0 19:1.248456 # docid:688
0 qid:9080 1:4.377154 13:1.1559619 14:0.0 15:0.0 16:0.7158682 17:0.0 18:0.0 19:0.0 # docid:209
0 qid:9080 1:4.3768816 13:1.4804273 14:0.0 15:0.0 16:1.4822142 17:1.5018107 18:0.0 19:1.8242626 # docid:44
0 qid:9080 1:4.3768816 13:1.4804273 14:0.0 15:0.0 16:1.4822142 17:1.5018107 18:0.0 19:1.8242626 # docid:43
0 qid:9080 1:4.3768816 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 # docid:33
0 qid:9080 1:4.253072 13:4.7339697 14:0.0 15:1.0 16:3.4559486 17:4.7361355 18:4.944305 19:5.3671727 # docid:317
0 qid:9080 1:4.253072 13:1.1559619 14:0.0 15:0.0 16:0.7158682 17:0.0 18:0.0 19:0.0 # docid:395
0 qid:9080 1:4.155124 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:2.3042147 # docid:695
0 qid:9080 1:4.155124 13:0.0 14:0.0 15:0.0 16:1.3320849 17:1.0780797 18:0.0 19:0.0 # docid:682
0 qid:9080 1:4.155124 13:0.0 14:0.0 15:1.0 16:2.7400804 17:1.6355389 18:0.0 19:3.5526707 # docid:697
0 qid:9080 1:4.147625 13:1.1559619 14:0.0 15:0.0 16:2.802629 17:2.9443495 18:2.5316508 19:2.8283439 # docid:45
1 qid:9080 1:4.147625 13:0.0 14:0.0 15:1.0 16:2.673386 17:0.0 18:0.0 19:0.0 # docid:601
0 qid:9080 1:4.147625 13:1.1559619 14:0.0 15:0.0 16:2.9777443 17:2.9443495 18:2.5316508 19:2.8283439 # docid:49
0 qid:9080 1:4.1352105 13:4.7339697 14:0.0 15:0.0 16:2.802629 17:2.9443495 18:2.5316508 19:2.8283439 # docid:437
0 qid:9080 1:4.1352105 13:4.7339697 14:0.0 15:1.0 16:3.0148473 17:1.7917861 18:0.0 19:3.9144025 # docid:567
0 qid:9080 1:3.9483154 13:0.0 14:0.0 15:0.0 16:1.2995508 17:1.2551477 18:0.0 19:1.8242626 # docid:439
0 qid:9080 1:3.9411893 13:5.3674583 14:0.0 15:0.0 16:2.3615277 17:1.7917861 18:0.0 19:1.248456 # docid:544
0 qid:9080 1:3.9186122 13:4.0183597 14:0.0 15:1.0 16:3.148016 17:3.3412237 18:3.0120058 19:3.551588 # docid:453
0 qid:9080 1:3.9186122 13:3.5780077 14:0.0 15:1.0 16:2.298979 17:0.0 18:0.0 19:3.9144025 # docid:318
2 qid:9080 1:3.7611175 13:0.0 14:0.0 15:0.0 16:1.6456594 17:0.0 18:0.0 19:1.248456 # docid:673
0 qid:9080 1:3.7543294 13:1.1559619 14:0.0 15:1.0 16:2.802629 17:2.869866 18:2.4126542 19:1.4527704 # docid:352
0 qid:9080 1:3.7543294 13:1.1559619 14:0.0 15:1.0 16:2.802629 17:1.7917861 18:0.0 19:1.7273253 # docid:351
0 qid:9036 1:11.345187 13:3.0424292 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:0.73966753 # docid:767
2 qid:9036 1:10.352718 13:5.4804163 14:0.0 15:0.0 16:6.2216945 17:0.0 18:0.0 19:6.6493273 # docid:166
0 qid:9036 1:8.295235 13:5.160599 14:0.0 15:0.0 16:1.538698 17:0.0 18:0.0 19:0.73966753 # docid:513
0 qid:9036 1:7.056623 13:5.160599 14:0.0 15:0.0 16:1.0000647 17:0.0 18:0.0 19:1.7998906 # docid:841
2 qid:9036 1:6.640216 13:3.0424292 14:0.0 15:0.0 16:0.8228297 17:0.0 18:0.0 19:2.2011013 # docid:168
