3 qid:9139 1:15.459973 2:4.8894606 3:15.383828 4:20.733849 9:0.7036993 10:0.0 11:0.0 16:5.0592294 17:9.7657385 18:8.225579 # docid:443
0 qid:9125 1:4.290707 2:1.0219685 3:0.0 4:0.0 9:1.0373815 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:789
0 qid:9125 1:4.290707 2:1.0508358 3:0.0 4:0.0 9:1.4856491 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:828
0 qid:9125 1:4.290707 2:0.69282234 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:182
0 qid:9125 1:4.290707 2:0.92074156 3:0.0 4:0.0 9:1.0373815 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:835
0 qid:9125 1:4.290707 2:2.805436 3:2.6316848 4:0.0 9:1.0373815 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:839
0 qid:9125 1:4.235881 2:5.6891437 3:4.0501394 4:0.0 9:0.7036993 10:0.0 11:0.0 16:2.7225292 17:0.0 18:0.0 # docid:561
0 qid:9125 1:4.235881 2:7.3314743 3:4.0501394 4:0.0 9:0.0 10:0.0 11:0.0 16:2.9050283 17:0.0 18:0.0 # docid:408
0 qid:9125 1:4.235881 2:7.6674805 3:7.2292185 4:4.759548 9:0.7036993 10:0.0 11:0.0 16:3.1636305 17:0.0 18:0.0 # docid:409
0 qid:9125 1:4.199532 2:4.3986793 3:0.0 4:0.0 9:1.4853727 10:0.0 11:0.0 16:2.6594424 17:0.0 18:0.0 # docid:212
3 qid:9135 1:12.476305 2:7.956677 3:7.4127684 4:0.0 9:3.9927607 10:4.621356 11:0.0 16:2.7848485 17:0.0 18:0.0 # docid:422
3 qid:9135 1:12.476305 2:6.5188766 3:10.082592 4:3.7477782 9:3.9927607 10:4.621356 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:421
0 qid:9135 1:9.417835 2:2.7451427 3:4.064476 4:0.0 9:0.0 10:0.0 11:0.0 16:3.1218088 17:1.9619004 18:0.0 # docid:449
1 qid:9135 1:9.324541 2:5.3024616 3:0.0 4:0.0 9:1.7789291 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:424
0 qid:9135 1:8.342812 2:2.6537006 3:3.5980184 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:0.0 18:0.0 # docid:446
2 qid:9135 1:7.932238 2:3.952775 3:3.7772634 4:3.3573031 9:2.0240996 10:0.0 11:0.0 16:2.4684892 17:1.9619004 18:0.0 # docid:316
1 qid:9135 1:7.932238 2:5.1277957 3:0.0 4:0.0 9:3.807436 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:425
0 qid:9135 1:7.6752105 2:3.5277152 3:1.0520798 4:0.0 9:1.9642537 10:0.0 11:0.0 16:2.298979 17:0.0 18:0.0 # docid:393
0 qid:9135 1:7.3787527 2:3.8915446 3:1.2376966 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:1.9619004 18:0.0 # docid:688
0 qid:9135 1:7.3787527 2:3.8915446 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:0.0 18:0.0 # docid:685
1 qid:9135 1:7.241613 2:7.5277553 3:12.348499 4:10.549701 9:3.7431827 10:3.034548 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:485
1 qid:9135 1:7.241613 2:6.4520726 3:12.198706 4:12.608292 9:3.7431827 10:3.034548 11:0.0 16:2.7951488 17:1.9619004 18:0.0 # docid:484
0 qid:9135 1:7.1987987 2:4.017462 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:699
0 qid:9135 1:6.992261 2:5.148622 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:0.0 18:0.0 # docid:695
0 qid:9135 1:6.992261 2:3.8011262 3:1.1689513 4:0.0 9:0.0 10:0.0 11:0.0 16:2.7951488 17:1.9619004 18:0.0 # docid:697
3 qid:9135 1:6.9835353 2:4.097098 3:4.0501394 4:0.0 9:1.0373815 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:423
0 qid:9135 1:6.700081 2:0.9553915 3:1.2376966 4:0.0 9:0.0 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:394
0 qid:9135 1:6.700081 2:5.0993295 3:1.3150331 4:0.0 9:3.7431827 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:392
0 qid:9135 1:6.4075127 2:3.965901 3:1.5195853 4:0.0 9:0.0 10:0.0 11:0.0 16:3.1218088 17:1.9619004 18:0.0 # docid:673
0 qid:9135 1:6.3491373 2:4.544645 3:3.7180452 4:0.0 9:4.0460496 10:3.8649585 11:0.0 16:0.0 17:0.0 18:0.0 # docid:395
2 qid:9135 1:5.9901657 2:3.1493478 3:2.983845 4:0.0 9:1.3690312 10:0.0 11:0.0 16:1.1494895 17:0.0 18:0.0 # docid:317
2 qid:9135 1:5.9901657 2:4.4089603 3:2.983845 4:0.0 9:1.3690312 10:0.0 11:0.0 16:1.1494895 17:0.0 18:0.0 # docid:318
0 qid:9135 1:5.9673004 2:3.0466268 3:2.983845 4:0.0 9:1.1803526 10:0.0 11:0.0 16:0.9242326 17:0.0 18:0.0 # docid:453
0 qid:9135 1:5.940782 2:3.0836122 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:260
0 qid:9135 1:5.871224 2:3.3919163 3:5.2020116 4:5.2343736 9:0.0 10:0.0 11:0.0 16:5.253338 17:5.875599 18:4.904964 # docid:734
0 qid:9135 1:5.7686105 2:2.403356 3:1.4026783 4:0.0 9:0.0 10:0.0 11:0.0 16:2.298979 17:0.0 18:0.0 # docid:128
1 qid:9135 1:5.636244 2:4.34434 3:2.2292225 4:0.0 9:0.0 10:0.0 11:0.0 16:2.1082833 17:0.0 18:0.0 # docid:472
1 qid:9135 1:5.5532513 2:7.6713133 3:10.856281 4:8.922304 9:4.5118837 10:3.034548 11:0.0 16:0.0 17:0.0 18:0.0 # docid:483
0 qid:9135 1:5.435575 2:4.76272 3:0.0 4:0.0 9:2.5922232 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:414
0 qid:9135 1:5.4311 2:2.9448762 3:2.5078044 4:0.0 9:0.0 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:513
0 qid:9135 1:5.4311 2:3.9667501 3:3.8228374 4:0.0 9:0.0 10:0.0 11:0.0 16:4.4305077 17:3.636927 18:0.0 # docid:769
0 qid:9135 1:5.4311 2:3.0322256 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:1.9619004 18:0.0 # docid:534
0 qid:9135 1:5.4311 2:2.6882296 3:3.8228374 4:4.477496 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:766
1 qid:9135 1:5.3572083 2:6.0963726 3:1.2376966 4:0.0 9:0.0 10:0.0 11:0.0 16:1.8484652 17:0.0 18:0.0 # docid:493
0 qid:9135 1:5.3488545 2:0.77775216 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:171
0 qid:9135 1:5.3488545 2:3.6102314 3:3.1702878 4:0.0 9:0.0 10:0.0 11:0.0 16:1.1494895 17:0.0 18:0.0 # docid:314
0 qid:9135 1:5.3488545 2:2.6433182 3:3.5980184 4:0.0 9:0.0 10:0.0 11:0.0 16:2.298979 17:0.0 18:0.0 # docid:391
0 qid:9135 1:5.2772217 2:3.856291 3:2.1119196 4:0.0 9:0.0 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:195
0 qid:9135 1:5.2462997 2:4.122347 3:3.7970698 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:507
1 qid:9135 1:5.2352 2:6.043719 3:6.6262484 4:6.5287676 9:1.7789291 10:0.0 11:0.0 16:2.7951488 17:1.9619004 18:0.0 # docid:495
0 qid:9135 1:5.173786 2:4.2080665 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.8228297 17:0.0 18:0.0 # docid:700
0 qid:9135 1:5.1650352 2:5.1290836 3:3.7706194 4:0.0 9:2.0240996 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:413
0 qid:9135 1:5.1650352 2:3.9782796 3:0.0 4:0.0 9:3.001635 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:415
0 qid:9135 1:5.152096 2:4.133992 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:683
0 qid:9135 1:5.152096 2:5.296092 3:2.3603218 4:0.0 9:0.0 10:0.0 11:0.0 16:5.0838275 17:3.187286 18:0.0 # docid:678
0 qid:9135 1:5.1323996 2:3.385352 3:0.0 4:0.0 9:3.204452 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:488
0 qid:9135 1:5.1309004 2:1.4812182 3:1.2376966 4:0.0 9:1.0373815 10:0.0 11:0.0 16:2.1082833 17:0.0 18:0.0 # docid:26
0 qid:9135 1:5.1309004 2:1.0572162 3:1.2376966 4:0.0 9:0.0 10:0.0 11:0.0 16:2.298979 17:0.0 18:0.0 # docid:200
0 qid:9135 1:5.1309004 2:2.5518758 3:2.3603218 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:0.0 18:0.0 # docid:555
0 qid:9135 1:5.1309004 2:2.5518758 3:2.3603218 4:0.0 9:0.0 10:0.0 11:0.0 16:2.4684892 17:0.0 18:0.0 # docid:593
3 qid:9080 1:11.533776 2:4.568958 3:9.339542 4:12.727225 9:0.7036993 10:0.0 11:0.0 16:2.802629 17:2.869866 18:2.4126542 # docid:681
0 qid:9080 1:9.387936 2:1.5455319 3:2.184078 4:1.427991 9:0.0 10:0.0 11:0.0 16:3.148016 17:3.3412237 18:3.0120058 # docid:355
0 qid:9080 1:7.9245987 2:0.86087537 3:0.0 4:0.0 9:0.5097329 10:0.0 11:0.0 16:1.6456594 17:0.0 18:0.0 # docid:256
2 qid:9080 1:7.838378 2:4.131951 3:5.6989202 4:2.392474 9:0.7036993 10:0.0 11:0.0 16:2.086761 17:1.6355389 18:0.0 # docid:685
0 qid:9080 1:7.1987987 2:4.3294277 3:5.6989202 4:2.5537841 9:0.7036993 10:0.0 11:0.0 16:2.802629 17:1.8662698 18:0.0 # docid:699
0 qid:9080 1:6.8209267 2:2.6297476 3:1.9210091 4:0.0 9:0.6415746 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:195
0 qid:9080 1:6.2781367 2:1.8729298 3:2.7140765 4:1.9619738 9:0.44799113 10:0.0 11:0.0 16:2.086761 17:1.8662698 18:0.0 # docid:23
0 qid:9080 1:6.075395 2:4.0910187 3:5.398102 4:2.7384193 9:0.7036993 10:0.0 11:0.0 16:1.1569695 17:1.0780797 18:0.0 # docid:683
0 qid:9080 1:6.048724 2:4.5200324 3:7.676093 4:4.648042 9:0.7036993 10:0.0 11:0.0 16:3.0868256 17:4.7361355 18:2.5316508 # docid:700
0 qid:9080 1:6.0019836 2:2.3357599 3:3.5994458 4:0.0 9:0.0 10:0.0 11:0.0 16:2.261876 17:1.8662698 18:0.0 # docid:803
0 qid:9080 1:5.8654127 2:1.666702 3:1.0777615 4:0.0 9:0.6415746 10:0.0 11:0.0 16:1.3320849 17:0.0 18:0.0 # docid:42
0 qid:9080 1:5.747667 2:4.617949 3:5.5387554 4:3.3899648 9:0.0 10:0.0 11:0.0 16:2.802629 17:2.869866 18:2.4126542 # docid:25
0 qid:9080 1:5.5905256 2:1.1957976 3:1.4543067 4:0.0 9:0.7036993 10:0.0 11:0.0 16:2.086761 17:1.6355389 18:0.0 # docid:593
0 qid:9080 1:5.5268493 2:1.855944 3:0.0 4:0.0 9:0.0 10:0.0 11:0.0 16:0.0 17:0.0 18:0.0 # docid:363
0 qid:9080 1:5.402799 2:4.419029 3:6.460147 4:2.2503312 9:0.7036993 10:0.0 11:0.0 16:2.802629 17:3.2058027 18:0.0 # docid:702
0 qid:9080 1:5.3488545 2:1.1069779 3:0.0 4:0.0 9:0.5097329 10:0.0 11:0.0 16:0.49546134 17:0.0 18:0.0 # docid:171
0 qid:9080 1:5.3488545 2:1.836454 3:3.6458926 4:3.8801448 9:0.7036993 10:0.0 11:0.0 16:3.4559486 17:4.7361355 18:4.944305 # docid:314
0 qid:9080 1:5.3488545 2:1.2415186 3:0.0 4:0.0 9:0.7036993 10:0.0 11:0.0 16:0.44110143 17:0.0 18:0.0 # docid:391
