"id","qb_question","qb_answer","qb_choice1","qb_choice2","qb_choice3","qb_topic_id"
961,"The rented car * during the journey.","broke down","broke up","na","na",3
962,"She was so excited she * a dance.","broke into","broke out","na","na",3
963,"Fighting * all over the city over police brutality.","broke out","broke up","na","na",3
964,"He unwillingly * with his girlfriend of five years.","broke up","broke down","na","na",3
965,"The electricity * for more than a hour yesterday.","went off","went on","na","na",3
966,"The famine has been * for six months.","going on","going off","na","na",3
967,"I don't think proposal to tear down the monument will *.","go through","go on","na","na",3
968,"The government is unlikely to * its decision to close the park.","go back on","go with","na","na",3
969,"The team has agreed to support you and * your proposals.","go with","go back on","na","na",3
970,"They were going for show and asked me if I want to *.","come along","come about","na","na",3
971,"He wondered how this problem * at the beginning.","came about","came along","na","na",3
972,"She * as rather obnoxious when I spoke to her.","came across","came off","na","na",3
973,"The negotiations did not * because there was too much bickering.","come off","come along","na","na",3
974,"Something * in the office and he had to go back immediately.","came up","came along","na","na",3
975,"It all * to how much influence you have in the team.","comes down to","comes about","na","na",3
976,"I am sorry I have to * your offer but I appreciate it.","turn down","turn out","na","na",3
977,"My business * reasonable profits last year.","turned in","turned out","na","na",3
978,"It * that there is a huge demand for this product.","turns out","turns in","na","na",3
979,"He can * himself so you don't have to worry.","look after","look over","na","na",3
980,"He * on his achievements with pride.","looks back","looks forward","na","na",3
981,"He * on them because they are not as wealthy as him.","looks down","looks over","na","na",3
982,"He * to his new job starting next month.","looks forward","looks back","na","na",3
983,"He will * how the company can increase productivity.","look into","look up","na","na",3
984,"He took a minute to * the contract.","look over","look up","na","na",3
985,"She is hoping that things will finally * after she clears her debt.","look up","look forward","na","na",3
986,"When they first moved here, they * on very little money.","got by","got through","na","na",3
987,"She could not * with her colleagues.","get along","get by","na","na",3
988,"He is very unhappy about this but he will * it.","get over","get through","na","na",3
989,"He * his exams effortlessly.","got through","got over","na","na",3
990,"She * her father with her love of sports.","takes after","takes in","na","na",3
991,"The singer's popularity * after her second album.","took off","took away","na","na",3
992,"The meeting has been * until the boss is back.","put off","put forward","na","na",3
993,"The team * many ideas, but the management was not impressed.","put forward","put across","na","na",3
994,"It is a difficult topic but he * in a simple way.","put it across","put it forward","na","na",3
995,"She will not * because she is a good friend.","let me down","let me off","na","na",3
996,"She was * with a warning instead of being charged.","let off","let down","na","na",3
997,"She would not * in her protest against racism.","let up","let down","na","na",3
998,"He was so insistent on giving me money that I had to *.","give in","give up","na","na",3
999,"If I decide to *, please tell me the answer.","give up","give in","na","na",3
1000,"The employees have * for the senior managers to take responsibility.","called for","called on","na","na",3
1001,"The national day parade will not be * despite the rain.","called off","called for","na","na",3
1002,"The announcer * everybody to stand up and welcome the queen.","called on","called up","na","na",3
